Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 5954: {'11': 429, '10': 123, '00': 198, '01': 274}
Counts for pub 5955: {'11': 256, '10': 66, '00': 570, '01': 132}
Counts for pub 5956: {'10': 271, '11': 326, '00': 173, '01': 254}
Counts for pub 5957: {'11': 730, '00': 62, '01': 128, '10': 104}
Counts for pub 5958: {'01': 461, '11': 537, '00': 10, '10': 16}
Counts for pub 5959: {'00': 932, '11': 47, '01': 36, '10': 9}
Counts for pub 5960: {'11': 280, '01': 719, '10': 7, '00': 18}
Counts for pub 5961: {'11': 531, '01': 467, '00': 11, '10': 15}
Counts for pub 5962: {'00': 442, '11': 213, '10': 252, '01': 117}
Counts for pub 5963: {'10': 162, '11': 654, '00': 97, '01': 111}
Counts for pub 5964: {'01': 259, '00': 317, '11': 222, '10': 226}
Counts for pub 5965: {'11': 538, '01': 461, '00': 9, '10': 16}
Counts for pub 5966: {'11': 595, '01': 150, '00': 168, '10': 111}
Counts for pub 5967: {'00': 298, '10': 286, '11': 232, '01': 208}
Counts for pub 5968: {'11': 345, '01': 171, '00': 316, '10': 192}
Counts for pub 5969: {'00': 521, '10': 302, '01': 117, '11': 84}
Counts for pub 5970: {'01': 342, '10': 240, '11': 208, '00': 234}
Counts for pub 5971: {'10': 101, '11': 434, '00': 205, '01': 284}
Counts for pub 5972: {'00': 614, '10': 329, '11': 42, '01': 39}
Counts for pub 5973: {'01': 189, '11': 332, '10': 317, '00': 186}
Counts for pub 5974: {'00': 70, '10': 428, '11': 451, '01': 75}
Counts for pub 5975: {'11': 44, '10': 937, '00': 9, '01': 34}
Counts for pub 5976: {'10': 91, '11': 668, '01': 163, '00': 102}
Counts for pub 5977: {'10': 457, '11': 73, '01': 349, '00': 145}
Counts for pub 5978: {'11': 504, '01': 280, '10': 140, '00': 100}
Counts for pub 5979: {'11': 359, '01': 150, '10': 351, '00': 164}
Counts for pub 5980: {'01': 681, '00': 52, '11': 262, '10': 29}
Counts for pub 5981: {'00': 460, '01': 124, '10': 243, '11': 197}
Counts for pub 5982: {'00': 586, '10': 99, '11': 266, '01': 73}
Counts for pub 5983: {'11': 174, '10': 300, '01': 207, '00': 343}
Counts for pub 5984: {'11': 394, '10': 340, '00': 158, '01': 132}
Counts for pub 5985: {'01': 689, '11': 294, '00': 27, '10': 14}
Counts for pub 5986: {'00': 344, '10': 172, '11': 327, '01': 181}
Counts for pub 5987: {'10': 407, '01': 323, '11': 144, '00': 150}
Counts for pub 5988: {'11': 28, '10': 342, '00': 611, '01': 43}
Counts for pub 5989: {'00': 582, '10': 363, '11': 39, '01': 40}
Counts for pub 5990: {'00': 740, '11': 155, '01': 98, '10': 31}
Counts for pub 5991: {'11': 257, '00': 277, '10': 213, '01': 277}
Counts for pub 5992: {'10': 828, '01': 131, '11': 19, '00': 46}
Counts for pub 5993: {'00': 802, '11': 115, '10': 72, '01': 35}
Counts for pub 5994: {'00': 1009, '10': 10, '01': 5}
Counts for pub 5995: {'10': 734, '11': 85, '00': 177, '01': 28}
Counts for pub 5996: {'01': 558, '11': 243, '00': 90, '10': 133}
Counts for pub 5997: {'11': 588, '00': 263, '10': 65, '01': 108}
Counts for pub 5998: {'10': 214, '01': 258, '00': 238, '11': 314}
Counts for pub 5999: {'00': 185, '11': 460, '01': 250, '10': 129}
Counts for pub 6000: {'01': 127, '11': 786, '10': 86, '00': 25}
Counts for pub 6001: {'01': 272, '11': 502, '10': 104, '00': 146}
Counts for pub 6002: {'11': 671, '10': 193, '00': 125, '01': 35}
Counts for pub 6003: {'01': 145, '10': 96, '00': 192, '11': 591}
Counts for pub 6004: {'01': 166, '10': 444, '00': 157, '11': 257}
Counts for pub 6005: {'10': 148, '00': 490, '11': 253, '01': 133}
Counts for pub 6006: {'00': 450, '01': 163, '11': 277, '10': 134}
Counts for pub 6007: {'11': 201, '10': 194, '00': 461, '01': 168}
Counts for pub 6008: {'00': 457, '10': 164, '11': 260, '01': 143}
Counts for pub 6009: {'00': 198, '10': 769, '01': 19, '11': 38}
Counts for pub 6010: {'11': 791, '01': 202, '10': 22, '00': 9}
Counts for pub 6011: {'11': 773, '01': 214, '00': 9, '10': 28}
Counts for pub 6012: {'00': 703, '01': 94, '11': 95, '10': 132}
Counts for pub 6013: {'00': 439, '10': 496, '01': 51, '11': 38}
Counts for pub 6014: {'00': 845, '10': 12, '01': 142, '11': 25}
Counts for pub 6015: {'11': 609, '00': 191, '01': 131, '10': 93}
Counts for pub 6016: {'11': 791, '01': 209, '10': 15, '00': 9}
Counts for pub 6017: {'10': 211, '11': 356, '01': 236, '00': 221}
Counts for pub 6018: {'00': 802, '11': 75, '01': 47, '10': 100}
Counts for pub 6019: {'11': 512, '01': 450, '10': 35, '00': 27}
Counts for pub 6020: {'11': 226, '01': 292, '00': 266, '10': 240}
Counts for pub 6021: {'00': 139, '11': 435, '01': 239, '10': 211}
Counts for pub 6022: {'00': 469, '10': 87, '11': 380, '01': 88}
Counts for pub 6023: {'10': 87, '11': 552, '01': 290, '00': 95}
Counts for pub 6024: {'10': 291, '00': 216, '11': 297, '01': 220}
Counts for pub 6025: {'00': 798, '01': 60, '11': 96, '10': 70}
Counts for pub 6026: {'00': 12, '01': 129, '11': 791, '10': 92}
Counts for pub 6027: {'00': 774, '10': 79, '01': 63, '11': 108}
Counts for pub 6028: {'11': 785, '00': 76, '01': 109, '10': 54}
Counts for pub 6029: {'00': 471, '11': 269, '01': 134, '10': 150}
Counts for pub 6030: {'00': 535, '11': 291, '01': 111, '10': 87}
Counts for pub 6031: {'11': 890, '10': 122, '01': 12}
Counts for pub 6032: {'00': 281, '10': 155, '11': 464, '01': 124}
Counts for pub 6033: {'10': 135, '11': 94, '01': 324, '00': 471}
Counts for pub 6034: {'11': 542, '00': 219, '01': 159, '10': 104}
Counts for pub 6035: {'01': 197, '11': 292, '10': 301, '00': 234}
Counts for pub 6036: {'10': 400, '00': 173, '11': 266, '01': 185}
Counts for pub 6037: {'11': 492, '10': 49, '01': 418, '00': 65}
Counts for pub 6038: {'10': 111, '11': 783, '01': 117, '00': 13}
Counts for pub 6039: {'10': 605, '11': 172, '01': 83, '00': 164}
Counts for pub 6040: {'11': 890, '00': 3, '10': 114, '01': 17}
Counts for pub 6041: {'01': 127, '11': 788, '10': 94, '00': 15}
Counts for pub 6042: {'00': 495, '11': 257, '10': 151, '01': 121}
Counts for pub 6043: {'01': 490, '00': 448, '11': 43, '10': 43}
Counts for pub 6044: {'00': 589, '01': 151, '11': 134, '10': 150}
Counts for pub 6045: {'11': 788, '01': 130, '10': 94, '00': 12}
Counts for pub 6046: {'00': 104, '11': 557, '01': 305, '10': 58}
Counts for pub 6047: {'01': 284, '00': 331, '11': 196, '10': 213}
Counts for pub 6048: {'01': 218, '00': 311, '11': 293, '10': 202}
Counts for pub 6049: {'10': 144, '00': 493, '01': 289, '11': 98}
Counts for pub 6050: {'00': 224, '10': 272, '11': 243, '01': 285}
Counts for pub 6051: {'11': 585, '10': 100, '00': 184, '01': 155}
Counts for pub 6052: {'00': 573, '10': 170, '01': 203, '11': 78}
Counts for pub 6053: {'11': 408, '01': 256, '10': 184, '00': 176}
Counts for pub 6054: {'00': 764, '01': 240, '10': 14, '11': 6}
Counts for pub 6055: {'00': 742, '10': 184, '01': 47, '11': 51}
Counts for pub 6056: {'10': 200, '11': 431, '01': 251, '00': 142}
Counts for pub 6057: {'11': 415, '01': 49, '00': 511, '10': 49}
Counts for pub 6058: {'11': 681, '01': 190, '00': 101, '10': 52}
Counts for pub 6059: {'01': 190, '10': 161, '00': 474, '11': 199}
Counts for pub 6060: {'01': 716, '10': 5, '11': 278, '00': 25}
Counts for pub 6061: {'00': 494, '01': 117, '10': 158, '11': 255}
Counts for pub 6062: {'00': 386, '10': 294, '01': 163, '11': 181}
Counts for pub 6063: {'11': 79, '10': 125, '00': 692, '01': 128}
Counts for pub 6064: {'01': 175, '00': 496, '10': 166, '11': 187}
Counts for pub 6065: {'11': 879, '01': 22, '10': 119, '00': 4}
Counts for pub 6066: {'00': 319, '10': 222, '01': 215, '11': 268}
Counts for pub 6067: {'00': 283, '01': 252, '10': 219, '11': 270}
Counts for pub 6068: {'01': 211, '10': 179, '00': 559, '11': 75}
Counts for pub 6069: {'00': 619, '11': 79, '10': 163, '01': 163}
Counts for pub 6070: {'01': 172, '11': 245, '10': 421, '00': 186}
Counts for pub 6071: {'10': 639, '00': 74, '11': 259, '01': 52}
Counts for pub 6072: {'00': 800, '01': 53, '11': 91, '10': 80}
Counts for pub 6073: {'00': 358, '10': 452, '11': 120, '01': 94}
Counts for pub 6074: {'10': 722, '00': 187, '01': 18, '11': 97}
Counts for pub 6075: {'00': 1011, '10': 9, '01': 4}
Counts for pub 6076: {'00': 103, '10': 224, '11': 654, '01': 43}
Counts for pub 6077: {'01': 568, '00': 148, '11': 69, '10': 239}
Counts for pub 6078: {'11': 535, '10': 64, '00': 331, '01': 94}
Counts for pub 6079: {'11': 581, '00': 189, '10': 87, '01': 167}
Counts for pub 6080: {'00': 772, '01': 66, '11': 130, '10': 56}
Counts for pub 6081: {'01': 185, '10': 304, '00': 361, '11': 174}
Counts for pub 6082: {'00': 1014, '10': 9, '01': 1}
Counts for pub 6083: {'00': 766, '01': 104, '10': 118, '11': 36}
Counts for pub 6084: {'11': 143, '01': 333, '10': 379, '00': 169}
Counts for pub 6085: {'00': 562, '10': 116, '01': 75, '11': 271}
Counts for pub 6086: {'00': 646, '11': 204, '10': 111, '01': 63}
Counts for pub 6087: {'00': 195, '11': 221, '10': 513, '01': 95}
Counts for pub 6088: {'00': 616, '11': 241, '10': 104, '01': 63}
Counts for pub 6089: {'01': 622, '00': 108, '11': 236, '10': 58}
Counts for pub 6090: {'10': 138, '00': 643, '01': 174, '11': 69}
Counts for pub 6091: {'00': 671, '11': 79, '01': 150, '10': 124}
Counts for pub 6092: {'11': 272, '00': 223, '10': 300, '01': 229}
Counts for pub 6093: {'00': 188, '11': 359, '10': 167, '01': 310}
Counts for pub 6094: {'00': 142, '11': 328, '10': 420, '01': 134}
Counts for pub 6095: {'10': 130, '00': 767, '01': 102, '11': 25}
Counts for pub 6096: {'00': 667, '11': 70, '01': 180, '10': 107}
Counts for pub 6097: {'01': 579, '11': 253, '00': 124, '10': 68}
Counts for pub 6098: {'00': 253, '01': 151, '11': 389, '10': 231}
Counts for pub 6099: {'00': 350, '01': 235, '10': 253, '11': 186}
Counts for pub 6100: {'00': 481, '10': 400, '01': 78, '11': 65}
Counts for pub 6101: {'00': 714, '10': 266, '01': 25, '11': 19}
Counts for pub 6102: {'00': 429, '01': 334, '11': 150, '10': 111}
Counts for pub 6103: {'10': 240, '00': 707, '01': 48, '11': 29}
Counts for pub 6104: {'10': 480, '00': 199, '01': 218, '11': 127}
Counts for pub 6105: {'11': 748, '01': 137, '10': 117, '00': 22}
Counts for pub 6106: {'00': 779, '11': 115, '01': 53, '10': 77}
Counts for pub 6107: {'10': 108, '01': 131, '11': 762, '00': 23}
Counts for pub 6108: {'10': 81, '00': 797, '11': 18, '01': 128}
Counts for pub 6109: {'00': 585, '11': 259, '01': 69, '10': 111}
Counts for pub 6110: {'10': 162, '01': 395, '00': 330, '11': 137}
Counts for pub 6111: {'01': 39, '00': 853, '11': 117, '10': 15}
Counts for pub 6112: {'11': 137, '00': 281, '01': 499, '10': 107}
Counts for pub 6113: {'01': 139, '11': 809, '10': 47, '00': 29}
Counts for pub 6114: {'00': 782, '01': 89, '11': 33, '10': 120}
Counts for pub 6115: {'01': 201, '00': 224, '10': 472, '11': 127}
Counts for pub 6116: {'10': 168, '11': 419, '00': 303, '01': 134}
Counts for pub 6117: {'10': 234, '11': 258, '01': 180, '00': 352}
Counts for pub 6118: {'00': 792, '11': 113, '01': 56, '10': 63}
Counts for pub 6119: {'10': 243, '11': 195, '01': 489, '00': 97}
Counts for pub 6120: {'00': 833, '01': 37, '11': 138, '10': 16}
Counts for pub 6121: {'11': 104, '01': 54, '10': 73, '00': 793}
Counts for pub 6122: {'10': 113, '00': 608, '11': 240, '01': 63}
Counts for pub 6123: {'10': 892, '00': 42, '01': 11, '11': 79}
Counts for pub 6124: {'10': 562, '00': 90, '01': 43, '11': 329}
Counts for pub 6125: {'00': 778, '01': 59, '11': 106, '10': 81}
Counts for pub 6126: {'00': 538, '10': 201, '01': 202, '11': 83}
Counts for pub 6127: {'10': 86, '11': 791, '00': 75, '01': 72}
Counts for pub 6128: {'00': 206, '11': 129, '10': 559, '01': 130}
Counts for pub 6129: {'11': 822, '01': 123, '10': 57, '00': 22}
Counts for pub 6130: {'11': 203, '01': 270, '00': 329, '10': 222}
Counts for pub 6131: {'00': 776, '10': 124, '11': 30, '01': 94}
Counts for pub 6132: {'10': 53, '00': 255, '11': 613, '01': 103}
Counts for pub 6133: {'01': 502, '00': 237, '11': 206, '10': 79}
Counts for pub 6134: {'10': 588, '11': 268, '01': 102, '00': 66}
Counts for pub 6135: {'00': 252, '11': 436, '01': 175, '10': 161}
Counts for pub 6136: {'10': 289, '00': 693, '01': 26, '11': 16}
Counts for pub 6137: {'00': 741, '11': 197, '10': 26, '01': 60}
Counts for pub 6138: {'00': 377, '11': 250, '01': 206, '10': 191}
Counts for pub 6139: {'00': 221, '10': 479, '01': 96, '11': 228}
Counts for pub 6140: {'10': 531, '01': 173, '11': 156, '00': 164}
Counts for pub 6141: {'00': 621, '10': 114, '11': 230, '01': 59}
Counts for pub 6142: {'11': 636, '01': 345, '10': 23, '00': 20}
Counts for pub 6143: {'10': 329, '00': 192, '11': 313, '01': 190}
Counts for pub 6144: {'10': 491, '00': 204, '11': 242, '01': 87}
Counts for pub 6145: {'00': 828, '11': 137, '01': 46, '10': 13}
Counts for pub 6146: {'10': 511, '11': 145, '01': 143, '00': 225}
Counts for pub 6147: {'01': 190, '10': 351, '00': 260, '11': 223}
Counts for pub 6148: {'11': 636, '01': 85, '00': 242, '10': 61}
Counts for pub 6149: {'11': 593, '00': 262, '01': 107, '10': 62}
Counts for pub 6150: {'11': 141, '10': 365, '00': 144, '01': 374}
Counts for pub 6151: {'01': 249, '00': 675, '10': 41, '11': 59}
Counts for pub 6152: {'11': 757, '01': 140, '10': 103, '00': 24}
Counts for pub 6153: {'11': 522, '01': 448, '00': 24, '10': 30}
Counts for pub 6154: {'01': 574, '10': 132, '11': 234, '00': 84}
Counts for pub 6155: {'11': 663, '10': 201, '01': 51, '00': 109}
Counts for pub 6156: {'00': 1011, '10': 10, '01': 3}
Counts for pub 6157: {'10': 925, '00': 43, '11': 25, '01': 31}
Counts for pub 6158: {'00': 640, '01': 217, '10': 90, '11': 77}
Counts for pub 6159: {'00': 771, '01': 104, '10': 117, '11': 32}
Counts for pub 6160: {'10': 586, '11': 85, '00': 155, '01': 198}
Counts for pub 6161: {'10': 539, '11': 205, '00': 195, '01': 85}
Counts for pub 6162: {'00': 46, '10': 929, '11': 24, '01': 25}
Counts for pub 6163: {'10': 675, '00': 251, '01': 28, '11': 70}
Counts for pub 6164: {'00': 622, '10': 99, '01': 66, '11': 237}
Counts for pub 6165: {'01': 112, '00': 246, '10': 594, '11': 72}
Counts for pub 6166: {'10': 623, '01': 112, '00': 233, '11': 56}
Counts for pub 6167: {'00': 595, '01': 280, '11': 50, '10': 99}
Counts for pub 6168: {'00': 244, '01': 100, '10': 612, '11': 68}
Counts for pub 6169: {'11': 653, '00': 159, '10': 96, '01': 116}
Counts for pub 6170: {'10': 519, '01': 160, '00': 183, '11': 162}
Counts for pub 6171: {'10': 475, '01': 173, '00': 244, '11': 132}
Counts for pub 6172: {'00': 248, '11': 250, '10': 282, '01': 244}
Counts for pub 6173: {'11': 346, '00': 276, '10': 183, '01': 219}
Counts for pub 6174: {'01': 305, '00': 282, '11': 231, '10': 206}
Counts for pub 6175: {'10': 661, '00': 260, '01': 35, '11': 68}
Counts for pub 6176: {'10': 464, '11': 164, '01': 188, '00': 208}
Counts for pub 6177: {'11': 428, '10': 121, '01': 374, '00': 101}
Counts for pub 6178: {'10': 378, '01': 316, '00': 139, '11': 191}
Counts for pub 6179: {'00': 269, '10': 283, '01': 239, '11': 233}
Counts for pub 6180: {'00': 517, '10': 283, '11': 118, '01': 106}
Counts for pub 6181: {'10': 507, '00': 396, '01': 61, '11': 60}
Counts for pub 6182: {'11': 282, '01': 84, '10': 540, '00': 118}
Counts for pub 6183: {'10': 486, '00': 430, '11': 58, '01': 50}
Counts for pub 6184: {'00': 672, '10': 108, '11': 128, '01': 116}
Counts for pub 6185: {'11': 42, '01': 852, '00': 79, '10': 51}
Counts for pub 6186: {'01': 198, '11': 88, '10': 592, '00': 146}
Counts for pub 6187: {'01': 850, '11': 43, '00': 87, '10': 44}
Counts for pub 6188: {'00': 177, '10': 712, '11': 80, '01': 55}
Counts for pub 6189: {'00': 252, '10': 608, '01': 96, '11': 68}
Counts for pub 6190: {'10': 360, '11': 419, '00': 124, '01': 121}
Counts for pub 6191: {'00': 40, '01': 254, '10': 687, '11': 43}
Counts for pub 6192: {'11': 564, '10': 357, '01': 65, '00': 38}
Counts for pub 6193: {'01': 614, '10': 101, '11': 245, '00': 64}
Counts for pub 6194: {'10': 662, '00': 263, '11': 75, '01': 24}
Counts for pub 6195: {'01': 109, '00': 675, '10': 131, '11': 109}
Counts for pub 6196: {'11': 201, '00': 195, '01': 427, '10': 201}
Counts for pub 6197: {'01': 253, '10': 249, '11': 271, '00': 251}
Counts for pub 6198: {'10': 577, '01': 209, '11': 75, '00': 163}
Counts for pub 6199: {'00': 464, '01': 79, '10': 78, '11': 403}
Counts for pub 6200: {'10': 705, '01': 246, '11': 42, '00': 31}
Counts for pub 6201: {'10': 559, '01': 228, '00': 166, '11': 71}
Counts for pub 6202: {'10': 626, '01': 116, '00': 222, '11': 60}
Counts for pub 6203: {'00': 820, '01': 112, '11': 76, '10': 16}
Counts for pub 6204: {'01': 282, '00': 435, '10': 172, '11': 135}
Counts for pub 6205: {'01': 197, '10': 575, '00': 168, '11': 84}
Counts for pub 6206: {'10': 425, '00': 340, '01': 126, '11': 133}
Counts for pub 6207: {'01': 696, '00': 98, '11': 194, '10': 36}
Counts for pub 6208: {'00': 720, '01': 174, '11': 54, '10': 76}
Counts for pub 6209: {'11': 255, '01': 617, '10': 85, '00': 67}
Counts for pub 6210: {'00': 303, '11': 207, '01': 272, '10': 242}
Counts for pub 6211: {'00': 272, '10': 666, '11': 59, '01': 27}
Counts for pub 6212: {'01': 387, '10': 357, '00': 129, '11': 151}
Counts for pub 6213: {'01': 308, '10': 203, '11': 364, '00': 149}
Counts for pub 6214: {'00': 483, '01': 244, '11': 192, '10': 105}
Counts for pub 6215: {'10': 389, '01': 401, '00': 122, '11': 112}
Counts for pub 6216: {'10': 501, '00': 421, '11': 49, '01': 53}
Counts for pub 6217: {'01': 69, '10': 889, '11': 53, '00': 13}
Counts for pub 6218: {'10': 291, '01': 332, '00': 208, '11': 193}
Counts for pub 6219: {'01': 292, '00': 567, '10': 99, '11': 66}
Counts for pub 6220: {'10': 237, '01': 182, '00': 399, '11': 206}
Counts for pub 6221: {'10': 617, '00': 224, '01': 112, '11': 71}
Counts for pub 6222: {'01': 462, '11': 530, '00': 19, '10': 13}
Counts for pub 6223: {'01': 225, '10': 304, '11': 263, '00': 232}
Counts for pub 6224: {'00': 539, '01': 332, '10': 98, '11': 55}
Counts for pub 6225: {'10': 682, '00': 42, '01': 261, '11': 39}
Counts for pub 6226: {'00': 702, '10': 116, '01': 172, '11': 34}
Counts for pub 6227: {'01': 146, '10': 410, '00': 263, '11': 205}
Counts for pub 6228: {'01': 404, '00': 135, '10': 332, '11': 153}
Counts for pub 6229: {'10': 342, '01': 368, '11': 158, '00': 156}
Counts for pub 6230: {'10': 92, '11': 259, '00': 605, '01': 68}
Counts for pub 6231: {'10': 541, '11': 231, '00': 128, '01': 124}
Counts for pub 6232: {'01': 855, '10': 42, '00': 89, '11': 38}
Counts for pub 6233: {'00': 52, '10': 47, '11': 598, '01': 327}
Counts for pub 6234: {'11': 576, '00': 267, '01': 114, '10': 67}
Counts for pub 6235: {'01': 570, '10': 217, '00': 178, '11': 59}
Counts for pub 6236: {'10': 911, '00': 50, '11': 27, '01': 36}
Counts for pub 6237: {'00': 1014, '10': 6, '01': 4}
Counts for pub 6238: {'10': 637, '11': 188, '00': 151, '01': 48}
Counts for pub 6239: {'10': 685, '11': 70, '00': 247, '01': 22}
Counts for pub 6240: {'11': 308, '00': 588, '10': 46, '01': 82}
Counts for pub 6241: {'11': 47, '10': 716, '00': 238, '01': 23}
Counts for pub 6242: {'00': 682, '01': 187, '11': 75, '10': 80}
Counts for pub 6243: {'00': 940, '01': 50, '10': 19, '11': 15}
Counts for pub 6244: {'00': 322, '11': 211, '10': 290, '01': 201}
Counts for pub 6245: {'00': 824, '01': 113, '10': 25, '11': 62}
Counts for pub 6246: {'00': 795, '01': 125, '11': 69, '10': 35}
Counts for pub 6247: {'01': 405, '10': 123, '11': 365, '00': 131}
Counts for pub 6248: {'11': 77, '00': 801, '01': 122, '10': 24}
Counts for pub 6249: {'10': 106, '01': 345, '11': 426, '00': 147}
Counts for pub 6250: {'00': 721, '11': 267, '01': 23, '10': 13}
Counts for pub 6251: {'00': 727, '11': 260, '01': 24, '10': 13}
Counts for pub 6252: {'00': 570, '11': 325, '10': 46, '01': 83}
Counts for pub 6253: {'11': 355, '10': 122, '00': 434, '01': 113}
Counts for pub 6254: {'01': 152, '10': 138, '11': 346, '00': 388}
Counts for pub 6255: {'00': 947, '01': 43, '10': 21, '11': 13}
Counts for pub 6256: {'00': 735, '01': 17, '11': 259, '10': 13}
Counts for pub 6257: {'00': 577, '01': 354, '10': 52, '11': 41}
Counts for pub 6258: {'00': 406, '10': 249, '11': 226, '01': 143}
Counts for pub 6259: {'00': 513, '11': 339, '10': 104, '01': 68}
Counts for pub 6260: {'01': 379, '00': 301, '11': 174, '10': 170}
Counts for pub 6261: {'00': 582, '11': 97, '01': 254, '10': 91}
Counts for pub 6262: {'00': 911, '01': 55, '11': 40, '10': 18}
